epoch:0, time:07/21_21:12:04, loss:0.022736825048923492,  time_consuming:1.42s
epoch:0, time:07/21_21:12:06, loss:0.8016883730888367,  time_consuming:1.39s
epoch:0, time:07/21_21:12:07, loss:8.663628250360489e-07,  time_consuming:1.40s
epoch:0, time:07/21_21:12:08, loss:0.1483970582485199,  time_consuming:1.48s
epoch:0, time:07/21_21:12:10, loss:0.10259032249450684,  time_consuming:1.40s
epoch:0, time:07/21_21:12:11, loss:0.005760387983173132,  time_consuming:1.40s
epoch:0, time:07/21_21:12:13, loss:0.02630419097840786,  time_consuming:1.41s
epoch:0, time:07/21_21:12:14, loss:1.3576005697250366,  time_consuming:1.45s
epoch:0, time:07/21_21:12:16, loss:1.8175759315490723,  time_consuming:1.39s
epoch:0, time:07/21_21:12:17, loss:0.3174370527267456,  time_consuming:1.39s
epoch:0, time:07/21_21:12:18, loss:1.1874268054962158,  time_consuming:1.43s
epoch:0, time:07/21_21:12:20, loss:0.21351969242095947,  time_consuming:1.43s
epoch:0, time:07/21_21:12:21, loss:1.3959139585494995,  time_consuming:1.44s
